NORIOCOMP,Frequencia,Impacto,Vulnerabil,NM_MUN,SIGLA_UF,length_m
Rio Javari,Alta,Baixo,Média,Benjamin Constant,AM,50720.22870971338
Rio Jaú,Alta,Baixo,Média,Itapuí,SP,18080.019041506956
Rio Jaú,Alta,Baixo,Média,Jaú,SP,25672.776094190926
Rio Jequiriçá,Média,Alto,Alta,Jiquiriçá,BA,39718.172315071664
Rio Jequiriçá,Média,Alto,Alta,Laje,BA,22298.29824314627
Rio Jequiriçá,Média,Alto,Alta,Mutuípe,BA,17846.402987845904
Rio Jequiriçá,Média,Alto,Alta,Santa Inês,BA,8374.046609720135
Rio Jequiriçá,Média,Alto,Alta,Ubaíra,BA,29153.016998603423
Rio Jequiriçá,Média,Médio,Média,Jaguaripe,BA,81876.13083605212
Rio Jequiriçá,Média,Médio,Média,Laje,BA,57570.36324787956
Rio Jequiriçá,Média,Médio,Média,Valença,BA,53094.70813490372
Rio Jequiriçá-mirim,Média,Médio,Média,Amargosa,BA,106299.90889859959
Rio Jequiriçá-mirim,Média,Médio,Média,Laje,BA,118224.27258300745
Rio Jequiriçá-mirim,Média,Médio,Média,Milagres,BA,106299.90889859959
Rio Jequiriçá-mirim,Média,Médio,Média,Mutuípe,BA,11924.363684407854
Rio Jequitibá,Média,Médio,Média,Muniz Ferreira,BA,3397.3881589976263
Rio Jequitibá,Média,Médio,Média,Santo Antônio de Jesus,BA,3397.3881589976263
Rio Jequitinhonha,Alta,Baixo,Média,Almenara,MG,42490.04592870979
Rio Jequitinhonha,Alta,Baixo,Média,Itaobim,MG,10646.60086364342
Rio Jequitinhonha,Alta,Baixo,Média,Jequitinhonha,MG,103793.28076022278
Rio Jequitinhonha,Alta,Médio,Alta,Almenara,MG,8699.82069020133
Rio Jequitinhonha,Alta,Médio,Alta,Jequitinhonha,MG,4683.6217979629955
Rio Jequitinhonha,Média,Baixo,Baixa,Jacinto,MG,13353.837577997458
Rio Jequitinhonha,Média,Baixo,Baixa,Salto da Divisa,MG,17627.165058782295
Rio Jequitinhonha,Média,Médio,Média,Belmonte,BA,25120.002897669
Rio Jequitinhonha,Média,Médio,Média,Jacinto,MG,5487.601787716466
Rio Jequiá ou Ipoca,Baixa,Baixo,Baixa,Anadia,AL,35230.951043886955
Rio Jequiá ou Ipoca,Baixa,Baixo,Baixa,Belém,AL,35230.951043886955
Rio Jequiá ou Ipoca,Baixa,Baixo,Baixa,Campo Alegre,AL,56540.03914189052
Rio Jequiá ou Ipoca,Baixa,Baixo,Baixa,Jequiá da Praia,AL,42322.36104294782
Rio Jequiá ou Ipoca,Baixa,Baixo,Baixa,Limoeiro de Anadia,AL,35230.951043886955
Rio Jequiá ou Ipoca,Baixa,Baixo,Baixa,Tanque d'Arca,AL,35230.951043886955
Rio Jequiá ou Ipoca,Baixa,Baixo,Baixa,Taquarana,AL,35230.951043886955
Rio Jiparaná ou Machado,Alta,Alto,Alta,Ji-Paraná,RO,25946.82666207065
Rio Jiparaná ou Machado,Baixa,Médio,Média,Ji-Paraná,RO,12793.577235170718
Rio Jiparaná ou Machado,Baixa,Médio,Média,Presidente Médici,RO,21411.489444616003
Rio Jirituba,Alta,Baixo,Média,Barra de Santo Antônio,AL,8037.20858285521
Rio Jirituba,Alta,Baixo,Média,São Luís do Quitunde,AL,2558.725251893719
Rio Jirituba,Baixa,Baixo,Baixa,Barra de Santo Antônio,AL,7216.699181904063
Rio Jirituba,Baixa,Baixo,Baixa,São Luís do Quitunde,AL,21943.74906202145
Rio José Pedro,Alta,Alto,Alta,Ipanema,MG,13078.310351254642
Rio José Pedro,Alta,Alto,Alta,Mutum,MG,18462.660019229832
Rio José Pedro,Alta,Alto,Alta,Taparuba,MG,31540.970370484472
Rio Jucurucu,Média,Médio,Média,Prado,BA,11326.651608112847
Rio Jucurucu Braço Norte,Média,Médio,Média,Itamaraju,BA,8336.876263786504
Rio Juma,Alta,Baixo,Média,Apuí,AM,38071.108587252944
Rio Jundiaí,Baixa,Baixo,Baixa,Atibaia,SP,38610.12552071072
Rio Jundiaí,Baixa,Baixo,Baixa,Campo Limpo Paulista,SP,38610.12552071072
Rio Jundiaí,Baixa,Baixo,Baixa,Indaiatuba,SP,15694.700453021089
Rio Jundiaí,Baixa,Baixo,Baixa,Itupeva,SP,15694.700453021089
Rio Jundiaí,Baixa,Baixo,Baixa,Jarinu,SP,38610.12552071072
Rio Jundiaí,Baixa,Baixo,Baixa,Jundiaí,SP,38610.12552071072
Rio Jundiaí,Baixa,Baixo,Baixa,Mairiporã,SP,38610.12552071072
Rio Jundiaí,Baixa,Baixo,Baixa,Várzea Paulista,SP,38610.12552071072
Rio Juqueri,Alta,Baixo,Média,Caieiras,SP,7240.525325714606
Rio Juqueri,Alta,Baixo,Média,Franco da Rocha,SP,14873.87900033118
Rio Juqueri,Baixa,Baixo,Baixa,Caieiras,SP,12179.876257605776
Rio Juqueri,Baixa,Baixo,Baixa,Cajamar,SP,12179.876257605776
Rio Juqueri,Baixa,Baixo,Baixa,Franco da Rocha,SP,10147.248834358821
Rio Juqueri,Baixa,Baixo,Baixa,Mairiporã,SP,10147.248834358821
Rio Juqueri,Baixa,Baixo,Baixa,São Paulo,SP,12179.876257605776
Rio Juquiá,Alta,Alto,Alta,Juquiá,SP,17038.442122853136
Rio Juquiá,Baixa,Baixo,Baixa,Juquiá,SP,10929.74903600088
Rio Juquiá,Baixa,Baixo,Baixa,Registro,SP,16833.267948758825
Rio Juquiá,Baixa,Baixo,Baixa,Sete Barras,SP,16833.267948758825
Rio Juruena,Alta,Baixo,Média,Cotriguaçu,MT,43226.70366618276
Rio Juruena,Alta,Baixo,Média,Juruena,MT,12102.910786480443
Rio Juruena,Alta,Baixo,Média,Nova Bandeirantes,MT,38193.9340421422
Rio Jurupari,Média,Alto,Alta,Feijó,AC,24616.40718112699
Rio Jurupari,Média,Baixo,Baixa,Envira,AC,18746.05204317971
Rio Jurupari,Média,Baixo,Baixa,Envira,AM,18746.05204317971
Rio Jurupari,Média,Baixo,Baixa,Feijó,AC,74451.81582170232
Rio Jurupari,Média,Baixo,Baixa,Feijó,AM,18746.05204317971
Rio Jurutipari,Média,Alto,Alta,Feijó,AC,11562.614157508066
Rio Jurutipari,Média,Baixo,Baixa,Feijó,AC,67388.96537120425
Rio Juruá,Alta,Alto,Alta,Cruzeiro do Sul,AC,52723.77340062994
Rio Juruá,Alta,Alto,Alta,Cruzeiro do Sul,AM,6504.104466375472
Rio Juruá,Alta,Alto,Alta,Guajará,AC,6504.104466375472
Rio Juruá,Alta,Alto,Alta,Guajará,AM,6504.104466375472
Rio Juruá,Alta,Alto,Alta,Rodrigues Alves,AC,34601.22873491917
Rio Juruá,Alta,Baixo,Média,Carauari,AM,575970.8765480971
Rio Juruá,Alta,Baixo,Média,Eirunepé,AM,413614.49229633407
Rio Juruá,Alta,Baixo,Média,Fonte Boa,AM,19617.657035130134
Rio Juruá,Alta,Baixo,Média,Guajará,AM,144465.3921233124
Rio Juruá,Alta,Baixo,Média,Ipixuna,AM,332455.80176817137
Rio Juruá,Alta,Baixo,Média,Itamarati,AM,394721.15714873397
Rio Juruá,Alta,Baixo,Média,Juruá,AM,483308.25378306815
Rio Juruá,Alta,Médio,Alta,Guajará,AM,23795.693302626343
Rio Juruá,Alta,Médio,Alta,Itamarati,AM,72259.60268381733
Rio Juruá,Média,Baixo,Baixa,Marechal Thaumaturgo,AC,167592.44395640286
Rio Juruá,Média,Baixo,Baixa,Porto Walter,AC,100580.10000549909
Rio Juruá,Média,Médio,Média,Cruzeiro do Sul,AC,125055.99615599572
Rio Juruá,Média,Médio,Média,Marechal Thaumaturgo,AC,15003.891271364213
Rio Juruá,Média,Médio,Média,Porto Walter,AC,42318.738918631745
Rio Juruá,Média,Médio,Média,Rodrigues Alves,AC,62163.56783188249
Rio Lagoinha,Alta,Alto,Alta,Petrolina de Goiás,GO,3248.6191495932912
Rio Lajeado,Baixa,Baixo,Baixa,Campestre do Maranhão,MA,4303.446487851022
Rio Lajeado,Baixa,Baixo,Baixa,Lajeado Novo,MA,5155.57054492632
Rio Lajeado,Baixa,Baixo,Baixa,Porto Franco,MA,21690.785464226108
Rio Lajeado,Baixa,Baixo,Baixa,São João do Paraíso,MA,20838.661407150812
Rio Lambari,Alta,Baixo,Média,Caconde,MG,16113.841314340323
Rio Lambari,Alta,Baixo,Média,Caconde,SP,16113.841314340323
Rio Lambari,Alta,Baixo,Média,Poços de Caldas,MG,16113.841314340323
Rio Lambari,Alta,Baixo,Média,Poços de Caldas,SP,16113.841314340323
Rio Lambari,Alta,Baixo,Média,Santo Antônio do Monte,MG,19576.673461064976
Rio Lambari,Alta,Médio,Alta,Cristina,MG,23469.220856588006
Rio Lambari,Alta,Médio,Alta,Maria da Fé,MG,23469.220856588006
Rio Lambari,Alta,Médio,Alta,Poços de Caldas,MG,19295.594225591478
Rio Lambari,Média,Baixo,Baixa,Cambuquira,MG,32403.077659073497
Rio Lambari,Média,Baixo,Baixa,Cristina,MG,21932.945340735678
Rio Lambari,Média,Baixo,Baixa,Jesuânia,MG,21932.945340735678
Rio Lambari,Média,Baixo,Baixa,Lambari,MG,45796.951943813125
Rio Lambari,Média,Baixo,Baixa,Olímpio Noronha,MG,21932.945340735678
Rio Lambari,Média,Baixo,Baixa,Três Corações,MG,8539.071055996053
Rio Laranjeiras,Alta,Baixo,Média,Orleans,SC,19245.597793451565
Rio Lençóis,Baixa,Baixo,Baixa,Lençóis Paulista,SP,10474.11714196927
Rio Leão,Alta,Alto,Alta,Campos Novos,SC,10365.90323609052
Rio Leão,Alta,Alto,Alta,Erval Velho,SC,10365.90323609052
Rio Ligeiro,Baixa,Médio,Média,Coronel Vivida,PR,34692.32563984347
Rio Ligeiro,Baixa,Médio,Média,Pato Branco,PR,34692.32563984347
Rio Limoeiro,Média,Médio,Média,Belmonte,BA,27967.978217667678
Rio Limoeiro,Média,Médio,Média,Itagimirim,BA,27967.978217667678
Rio Limoeiro,Média,Médio,Média,Itapebi,BA,27967.978217667678
Rio Liso,Média,Médio,Média,Nova Tebas,PR,26589.17275282177
Rio Liso,Média,Médio,Média,Pitanga,PR,26589.17275282177
Rio Liso,Média,Médio,Média,Roncador,PR,17224.011734595984
Rio Longá,Alta,Alto,Alta,Batalha,PI,3220.294548724681
Rio Longá,Alta,Alto,Alta,Esperantina,PI,3220.294548724681
Rio Longá,Alta,Baixo,Média,Barras,PI,42237.786191504456
Rio Longá,Alta,Baixo,Média,Batalha,PI,101612.1444046721
Rio Longá,Alta,Baixo,Média,Buriti dos Lopes,PI,30710.528867081237
Rio Longá,Alta,Baixo,Média,Caraúbas do Piauí,PI,35279.598566769746
Rio Longá,Alta,Baixo,Média,Caxingó,PI,49209.0264901106
Rio Longá,Alta,Baixo,Média,Esperantina,PI,62431.85980794573
Rio Longá,Alta,Baixo,Média,Joaquim Pires,PI,35279.598566769746
Rio Longá,Alta,Baixo,Média,São José do Divino,PI,29081.970848250065
Rio Longá,Alta,Médio,Alta,Buriti dos Lopes,PI,7986.004712441249
Rio Lontras,Baixa,Baixo,Baixa,Barbosa Ferraz,PR,33358.515406910024
Rio Lontras,Baixa,Baixo,Baixa,Corumbataí do Sul,PR,23626.689066735278
Rio Lourenço Velho,Alta,Baixo,Média,Delfim Moreira,MG,11044.174681412504
Rio Lourenço Velho,Alta,Baixo,Média,Itajubá,MG,34243.85394363414
Rio Lourenço Velho,Alta,Baixo,Média,Maria da Fé,MG,34243.85394363414
Rio Lourenço Velho,Alta,Baixo,Média,São José do Alegre,MG,23199.679262221634
Rio Lourenço Velho,Alta,Baixo,Média,Virgínia,MG,11044.174681412504
Rio Luís Alves,Alta,Alto,Alta,Ilhota,SC,18199.291322284982
Rio Luís Alves,Alta,Alto,Alta,Luiz Alves,SC,39273.83110654628
Rio Luís Alves,Alta,Alto,Alta,Navegantes,SC,14111.199950098451
Rio Macauã,Alta,Médio,Alta,Sena Madureira,AC,117730.20778253334
Rio Macauã,Média,Baixo,Baixa,Sena Madureira,AC,156521.0613859978
Rio Macaé,Alta,Médio,Alta,Macaé,RJ,11263.329043747048
Rio Machadinho,Baixa,Baixo,Baixa,Machadinho D'Oeste,RO,24496.294886479292
Rio Machado,Alta,Médio,Alta,Cacoal,RO,14638.161905506442
Rio Machado,Alta,Médio,Alta,Pimenta Bueno,RO,25851.113604617633
Rio Machado,Média,Médio,Média,Cacoal,RO,13352.52100835647
Rio Madeira,Alta,Alto,Alta,Porto Velho,RO,33184.78409799789
Rio Madeira,Alta,Baixo,Média,Borba,AM,227231.79292746616
Rio Madeira,Alta,Baixo,Média,Humaitá,AM,309095.5212907901
Rio Madeira,Alta,Baixo,Média,Manicoré,AM,278894.4585974871
Rio Madeira,Alta,Baixo,Média,Nova Olinda do Norte,AM,37037.17653426461
Rio Madeira,Alta,Baixo,Média,Novo Aripuanã,AM,82181.56909919753
Rio Madeira,Alta,Baixo,Média,Porto Velho,RO,127641.12673273153
Rio Madeira,Alta,Médio,Alta,Autazes,AM,86227.58702826964
Rio Madeira,Alta,Médio,Alta,Itacoatiara,AM,86227.58702826964
Rio Madeira,Alta,Médio,Alta,Nova Olinda do Norte,AM,86227.58702826964
Rio Madeira,Alta,Médio,Alta,Porto Velho,RO,184405.5549855731
Rio Madeira,Média,Médio,Média,Porto Velho,RO,135998.17168616538
Rio Magu,Alta,Baixo,Média,Araioses,MA,21391.222923901332
Rio Mamanguape,Baixa,Médio,Média,Alagoa Grande,PB,30928.516883942233
Rio Mamanguape,Baixa,Médio,Média,Alagoinha,PB,13353.866859973747
Rio Mamanguape,Baixa,Médio,Média,Araçagi,PB,19446.74960363761
Rio Mamanguape,Baixa,Médio,Média,Capim,PB,10357.241731514516
Rio Mamanguape,Baixa,Médio,Média,Cuité de Mamanguape,PB,6854.064743028477
Rio Mamanguape,Baixa,Médio,Média,Guarabira,PB,13184.133034821838
Rio Mamanguape,Baixa,Médio,Média,Itapororoca,PB,23218.077068481318
Rio Mamanguape,Baixa,Médio,Média,Mamanguape,PB,23133.81411085268
Rio Mamanguape,Baixa,Médio,Média,Marcação,PB,11294.697940325634
Rio Mamanguape,Baixa,Médio,Média,Mulungu,PB,40012.50880408496
Rio Mamanguape,Baixa,Médio,Média,Rio Tinto,PB,26472.429539476303
Rio Mambucaba,Alta,Médio,Alta,Angra dos Reis,RJ,23724.73204615355
Rio Mambucaba,Alta,Médio,Alta,Angra dos Reis,SP,12385.26976502498
Rio Mambucaba,Alta,Médio,Alta,Cunha,RJ,12385.26976502498
Rio Mambucaba,Alta,Médio,Alta,Cunha,SP,12385.26976502498
Rio Mambucaba,Alta,Médio,Alta,Paraty,RJ,23724.73204615355
Rio Mambucaba,Alta,Médio,Alta,Paraty,SP,12385.26976502498
Rio Mambucaba,Alta,Médio,Alta,São José do Barreiro,RJ,12385.26976502498
Rio Mambucaba,Alta,Médio,Alta,São José do Barreiro,SP,12385.26976502498
Rio Mamoré,Alta,Médio,Alta,Guajará-Mirim,RO,28158.761454302323
Rio Mampituba,Alta,Médio,Alta,Mampituba,RS,9691.802446706659
Rio Mampituba,Alta,Médio,Alta,Mampituba,SC,9691.802446706659
Rio Mampituba,Alta,Médio,Alta,Praia Grande,RS,9691.802446706659
Rio Mampituba,Alta,Médio,Alta,Praia Grande,SC,9691.802446706659
Rio Mampituba,Alta,Médio,Alta,São João do Sul,SC,19518.77731304009
Rio Mamuru,Alta,Baixo,Média,Parintins,AM,16616.06462605673
Rio Manguaba,Baixa,Baixo,Baixa,Campestre,AL,35061.108738877156
Rio Manguaba,Baixa,Baixo,Baixa,Jacuípe,AL,20369.679512790175
Rio Manguaba,Baixa,Baixo,Baixa,Jundiá,AL,11976.416702356848
Rio Manguaba,Baixa,Baixo,Baixa,Novo Lino,AL,11976.416702356848
Rio Manguaba,Baixa,Baixo,Baixa,Porto Calvo,AL,42628.88250379112
Rio Manguaba,Baixa,Baixo,Baixa,Porto de Pedras,AL,20713.914361817766
Rio Manhuaçu,Alta,Alto,Alta,Manhuaçu,MG,18012.48002855028
Rio Manhuaçu,Alta,Alto,Alta,Reduto,MG,13417.266680418075
Rio Manhuaçu,Alta,Baixo,Média,Aimorés,MG,14155.39267702516
Rio Manissauá-miçu,Alta,Baixo,Média,Marcelândia,MT,18420.707619256515
Rio Manquiné,Baixa,Alto,Alta,Maquiné,RS,30658.191169538368
Rio Manso,Baixa,Baixo,Baixa,Rio Manso,MG,15664.265511547592
Rio Manso,Baixa,Médio,Média,Crucilândia,MG,25877.336295396188
Rio Manso,Baixa,Médio,Média,Rio Manso,MG,25877.336295396188
Rio Manuel Alves Grande,Média,Alto,Alta,Carolina,MA,52782.84096360458
Rio Manuel Alves Grande,Média,Alto,Alta,Carolina,TO,52782.84096360458
Rio Manuel Alves Grande,Média,Alto,Alta,Goiatins,MA,52782.84096360458
Rio Manuel Alves Grande,Média,Alto,Alta,Goiatins,TO,52782.84096360458
Rio Mapari,Média,Baixo,Baixa,Japurá,AM,32328.81601486663
Rio Maracaçumé,Alta,Baixo,Média,Governador Nunes Freire,MA,9771.435583141467
Rio Maracaçumé,Alta,Baixo,Média,Maracaçumé,MA,17079.02463515453
Rio Maracaçumé,Baixa,Baixo,Baixa,Centro do Guilherme,MA,63686.19122402808
Rio Maracaçumé,Baixa,Baixo,Baixa,Governador Nunes Freire,MA,16605.2038710089
Rio Maracaçumé,Baixa,Baixo,Baixa,Maracaçumé,MA,23294.075438829892
Rio Maracaçumé,Baixa,Baixo,Baixa,Maranhãozinho,MA,63686.19122402808
Rio Maranhão,Alta,Alto,Alta,Congonhas,MG,23727.655030257516
Rio Maranhão,Alta,Alto,Alta,Conselheiro Lafaiete,MG,24889.895086338423
Rio Maranhão,Alta,Alto,Alta,Itaverava,MG,10503.374419340926
Rio Maranhão,Alta,Alto,Alta,Ouro Branco,MG,10503.374419340926
Rio Maranhão ou Tocantins,Baixa,Alto,Alta,Paranã,TO,8638.02869619479
Rio Maranhão ou Tocantins,Baixa,Alto,Alta,São Salvador do Tocantins,TO,8638.02869619479
Rio Maratoã,Alta,Alto,Alta,Barras,PI,10837.535533674301
Rio Maratoã,Alta,Baixo,Média,Barras,PI,5263.392173393762
Rio Maratoã,Alta,Baixo,Média,Batalha,PI,5263.392173393762
Rio Maria,Baixa,Baixo,Baixa,Rio Maria,PA,12254.501327391561
Rio Marmeleiro,Média,Médio,Média,Francisco Beltrão,PR,18834.612384953194
Rio Marmeleiro,Média,Médio,Média,Marmeleiro,PR,28964.80705426622
Rio Marmeleiro,Média,Médio,Média,Renascença,PR,28964.80705426622
Rio Marrecas,Alta,Alto,Alta,Francisco Beltrão,PR,29723.034285200927
Rio Marrecas,Alta,Alto,Alta,Marmeleiro,PR,22596.83347339287
Rio Marrecas,Baixa,Baixo,Baixa,Mangueirinha,PR,8916.398965674121
Rio Marrecas,Baixa,Baixo,Baixa,Reserva do Iguaçu,PR,8916.398965674121
Rio Matipó,Alta,Alto,Alta,Abre Campo,MG,9032.86858652189
Rio Matipó,Alta,Alto,Alta,Matipó,MG,30492.01427034754
Rio Matipó,Alta,Alto,Alta,Pedra Bonita,MG,10913.200279717526
Rio Matipó,Alta,Baixo,Média,Pedra Bonita,MG,18199.516755356934
Rio Matipó,Alta,Médio,Alta,Dionísio,MG,7976.046573907698
Rio Matipó,Alta,Médio,Alta,Raul Soares,MG,34521.26179342772
Rio Matipó,Alta,Médio,Alta,São Pedro dos Ferros,MG,21950.200751610268
Rio Matipó,Baixa,Baixo,Baixa,Abre Campo,MG,10489.334866628831
Rio Matipó,Baixa,Baixo,Baixa,Raul Soares,MG,18860.27684599224
Rio Maués-açu,Alta,Baixo,Média,Maués,AM,15101.634005417785
Rio Mearim,Alta,Alto,Alta,Bacabal,MA,31130.136252275868
Rio Mearim,Alta,Alto,Alta,Pedreiras,MA,19415.777925401693
Rio Mearim,Alta,Alto,Alta,São Luís Gonzaga do Maranhão,MA,72781.62969461073
Rio Mearim,Alta,Alto,Alta,Trizidela do Vale,MA,34147.183535728676
Rio Mearim,Alta,Baixo,Média,Esperantinópolis,MA,19038.206756430474
Rio Mearim,Alta,Baixo,Média,Joselândia,MA,19038.206756430474
Rio Mearim,Alta,Médio,Alta,Arari,MA,58026.406085432354
Rio Mearim,Alta,Médio,Alta,Vitória do Mearim,MA,36259.571264800594
Rio Mearim,Baixa,Baixo,Baixa,Barra do Corda,MA,22205.195590661016
Rio Meia Ponte,Alta,Alto,Alta,Aparecida de Goiânia,GO,17103.213281483466
Rio Meia Ponte,Alta,Alto,Alta,Goianira,GO,9479.988364245728
Rio Meia Ponte,Alta,Alto,Alta,Goiânia,GO,42662.34811269712
Rio Meia Ponte,Alta,Alto,Alta,Santo Antônio de Goiás,GO,1582.8765147894796
Rio Meia Ponte,Alta,Alto,Alta,Senador Canedo,GO,26651.808541578837
Rio Meia Ponte,Baixa,Baixo,Baixa,Brazabrantes,GO,14311.987118858611
Rio Meia Ponte,Baixa,Baixo,Baixa,Goianira,GO,26392.79437749759
Rio Meia Ponte,Baixa,Baixo,Baixa,Inhumas,GO,39572.0671206461
Rio Meia Ponte,Baixa,Baixo,Baixa,Itauçu,GO,20699.024321614113
Rio Meia Ponte,Baixa,Baixo,Baixa,Santo Antônio de Goiás,GO,12080.807258638979
Rio Meia Ponte,Média,Baixo,Baixa,Itumbiara,GO,2135.500801091052
Rio Membeca,Média,Alto,Alta,Campo Novo do Parecis,MT,21892.10500654413
Rio Miranda,Alta,Alto,Alta,Miranda,MS,29148.582003231866
Rio Miranda,Alta,Médio,Alta,Anastácio,MS,24413.642765227563
Rio Miranda,Alta,Médio,Alta,Aquidauana,MS,53545.72039921674
Rio Miranda,Alta,Médio,Alta,Bonito,MS,24413.642765227563
Rio Miranda,Alta,Médio,Alta,Corumbá,MS,104916.95200094522
Rio Miranda,Alta,Médio,Alta,Miranda,MS,122987.9357703965
Rio Moa,Alta,Alto,Alta,Cruzeiro do Sul,AC,9909.747764718035
Rio Moa,Alta,Baixo,Média,Cruzeiro do Sul,AC,15810.09133692353
Rio Moa,Alta,Baixo,Média,Mâncio Lima,AC,65033.887673950136
Rio Mocambo,Alta,Médio,Alta,Ilhéus,BA,5100.84076384418
Rio Mocambo,Alta,Médio,Alta,Uruçuca,BA,5100.84076384418
Rio Moji-Guaçu,Alta,Baixo,Média,Espírito Santo do Pinhal,MG,16626.536684993614
Rio Moji-Guaçu,Alta,Baixo,Média,Espírito Santo do Pinhal,SP,16626.536684993614
Rio Moji-Guaçu,Alta,Baixo,Média,Jacutinga,MG,35591.44670317256
Rio Moji-Guaçu,Alta,Baixo,Média,Jacutinga,SP,16626.536684993614
Rio Moji-Guaçu,Alta,Baixo,Média,Ouro Fino,MG,19041.69988561386
Rio Moji-Guaçu,Alta,Médio,Alta,Bom Repouso,MG,37391.354699274874
Rio Moji-Guaçu,Alta,Médio,Alta,Borda da Mata,MG,37391.354699274874
Rio Moji-Guaçu,Alta,Médio,Alta,Inconfidentes,MG,49807.23965524537
Rio Moji-Guaçu,Alta,Médio,Alta,Jacutinga,MG,7128.75736730244
Rio Moji-Guaçu,Alta,Médio,Alta,Ouro Fino,MG,12415.884955970498
Rio Moji-Guaçu,Alta,Médio,Alta,Tocos do Moji,MG,37391.354699274874
Rio Moji-Guaçu,Baixa,Baixo,Baixa,Itapira,SP,17187.456524967707
Rio Moji-Guaçu,Baixa,Baixo,Baixa,Mogi Guaçu,SP,17187.456524967707
Rio Moji-Guaçu,Baixa,Baixo,Baixa,Mogi Mirim,SP,17187.456524967707
Rio Moji-Guaçu,Baixa,Baixo,Baixa,Pirassununga,SP,10293.404025570919
Rio Moji-Guaçu,Baixa,Baixo,Baixa,Porto Ferreira,SP,19328.792082221116
Rio Moji-Guaçu,Baixa,Baixo,Baixa,Santa Rita do Passa Quatro,SP,6986.007780444581
Rio Monteiro,Baixa,Baixo,Baixa,Camalaú,PB,11199.016599243592
Rio Monteiro,Baixa,Baixo,Baixa,Sumé,PB,11199.016599243592
Rio Monteiro,Baixa,Médio,Média,Monteiro,PB,5225.6401262336685
Rio Moura,Alta,Alto,Alta,Araranguá,SC,5122.995750822242
Rio Moura,Alta,Alto,Alta,Maracajá,SC,26893.97081383288
Rio Moura,Alta,Alto,Alta,Meleiro,SC,26893.97081383288
Rio Moura,Alta,Alto,Alta,Morro Grande,SC,21770.975063010635
Rio Moura,Alta,Baixo,Média,Meleiro,SC,14125.337230873633
Rio Moura,Alta,Baixo,Média,Morro Grande,SC,14125.337230873633
Rio Moura,Alta,Baixo,Média,Nova Veneza,SC,14125.337230873633
Rio Moura,Alta,Médio,Alta,Meleiro,SC,1345.8153513318264
Rio Moura,Alta,Médio,Alta,Morro Grande,SC,1345.8153513318264
Rio Moxotó,Baixa,Médio,Média,Sertânia,PE,1903.9534409141165
Rio Moxotó,Média,Médio,Média,Ibimirim,PE,15136.912656492337
Rio Mucuri,Alta,Baixo,Média,Carlos Chagas,MG,17411.715931561208
Rio Mucuri,Alta,Baixo,Média,Nanuque,MG,17411.715931561208
Rio Mucuri,Alta,Médio,Alta,Carlos Chagas,MG,37542.92579235662
Rio Mundaú,Alta,Alto,Alta,Branquinha,AL,23322.28726692317
Rio Mundaú,Alta,Alto,Alta,Correntes,AL,21297.978653637238
Rio Mundaú,Alta,Alto,Alta,Correntes,PE,31344.058160887645
Rio Mundaú,Alta,Alto,Alta,Messias,AL,19253.146050214036
Rio Mundaú,Alta,Alto,Alta,Murici,AL,38592.71957911072
Rio Mundaú,Alta,Alto,Alta,Rio Largo,AL,36882.0114348114
Rio Mundaú,Alta,Alto,Alta,Santa Luzia do Norte,AL,3372.5717521718934
Rio Mundaú,Alta,Alto,Alta,Santana do Mundaú,AL,38735.58622970667
Rio Mundaú,Alta,Alto,Alta,Santana do Mundaú,PE,21297.978653637238
Rio Mundaú,Alta,Alto,Alta,Satuba,AL,21001.43713676926
Rio Mundaú,Alta,Alto,Alta,União dos Palmares,AL,39263.36699517109
Rio Mundaú,Baixa,Médio,Média,Brejão,PE,46245.92283717662
Rio Mundaú,Baixa,Médio,Média,Caetés,PE,46245.92283717662
Rio Mundaú,Baixa,Médio,Média,Correntes,PE,46245.92283717662
Rio Mundaú,Baixa,Médio,Média,Garanhuns,PE,46245.92283717662
Rio Mundaú,Baixa,Médio,Média,Lagoa do Ouro,PE,46245.92283717662
Rio Mundaú,Baixa,Médio,Média,Paranatama,PE,46245.92283717662
Rio Munim,Alta,Médio,Alta,Cachoeira Grande,MA,7819.270023452034
Rio Munim,Alta,Médio,Alta,Nina Rodrigues,MA,23577.816284014974
Rio Munim,Alta,Médio,Alta,Presidente Juscelino,MA,7819.270023452034
Rio Munim,Alta,Médio,Alta,Presidente Vargas,MA,18866.179351269784
Rio Muqui do Sul,Alta,Médio,Alta,Campos dos Goytacazes,ES,18010.42635302985
Rio Muqui do Sul,Alta,Médio,Alta,Campos dos Goytacazes,RJ,18010.42635302985
Rio Muqui do Sul,Alta,Médio,Alta,Mimoso do Sul,ES,21178.71239357405
Rio Muqui do Sul,Alta,Médio,Alta,Mimoso do Sul,RJ,18010.42635302985
Rio Muquilão,Média,Médio,Média,Nova Tebas,PR,9928.985720501021
Rio Muquilão,Média,Médio,Média,Roncador,PR,9928.985720501021
Rio Muquiqui do Norte,Alta,Baixo,Média,Atílio Vivácqua,ES,22782.360952758627
Rio Muquiqui do Norte,Alta,Baixo,Média,Itapemirim,ES,29372.660293713077
Rio Muquiqui do Norte,Alta,Baixo,Média,Muqui,ES,4193.897515763307
Rio Muquiqui do Norte,Alta,Baixo,Média,Presidente Kennedy,ES,18588.46343699532
Rio Muquiqui do Norte,Alta,Médio,Alta,Atílio Vivácqua,ES,4536.983520109774
